"Data","Valor"
01/01/2017,1255.70
25/12/2016,1234.50
18/12/2016,1216.80
11/12/2016,1220.90
04/12/2016,1236.00
27/11/2016,1242.40
20/11/2016,1245.50
13/11/2016,1276.40
06/11/2016,1282.70
30/10/2016,1365.70
23/10/2016,1337.10
16/10/2016,1323.00
09/10/2016,1310.40
02/10/2016,1304.50
25/09/2016,1370.40
18/09/2016,1396.00
11/09/2016,1367.10
04/09/2016,1393.10
28/08/2016,1385.30
21/08/2016,1383.20
14/08/2016,1408.00
07/08/2016,1406.80
31/07/2016,1407.90
24/07/2016,1415.70
17/07/2016,1385.50
10/07/2016,1383.50
03/07/2016,1412.00
26/06/2016,1394.30
19/06/2016,1376.80
12/06/2016,1342.90
05/06/2016,1327.70
29/05/2016,1294.60
22/05/2016,1267.60
15/05/2016,1305.90
08/05/2016,1319.50
01/05/2016,1340.10
24/04/2016,1341.40
17/04/2016,1278.80
10/04/2016,1279.70
03/04/2016,1287.30
27/03/2016,1268.90
20/03/2016,1272.40
13/03/2016,1302.00
06/03/2016,1308.60
28/02/2016,1315.60
21/02/2016,1258.80
14/02/2016,1267.40
07/02/2016,1271.20
31/01/2016,1198.00
24/01/2016,1161.90
17/01/2016,1142.60
10/01/2016,1137.50
03/01/2016,1151.70
27/12/2015,1121.00
20/12/2015,1135.90
13/12/2015,1123.30
06/12/2015,1133.80
29/11/2015,1143.20
22/11/2015,1114.50
15/11/2015,1133.80
08/11/2015,1141.30
01/11/2015,1147.90
25/10/2015,1195.20
18/10/2015,1218.70
11/10/2015,1246.60
04/10/2015,1222.40
27/09/2015,1204.20
20/09/2015,1218.80
13/09/2015,1214.10
06/09/2015,1181.90
30/08/2015,1200.50
23/08/2015,1218.40
16/08/2015,1246.80
09/08/2015,1202.30
02/08/2015,1185.80
26/07/2015,1183.10
19/07/2015,1180.00
12/07/2015,1230.70
05/07/2015,1256.60
28/06/2015,1261.50
21/06/2015,1273.10
14/06/2015,1299.40
07/06/2015,1281.00
31/05/2015,1266.60
24/05/2015,1280.70
17/05/2015,1299.70
10/05/2015,1318.90
03/05/2015,1282.50
26/04/2015,1266.10
19/04/2015,1260.40
12/04/2015,1288.10
05/04/2015,1293.30
29/03/2015,1288.20
22/03/2015,1291.90
15/03/2015,1274.70
08/03/2015,1248.90
01/03/2015,1265.60
22/02/2015,1309.40
15/02/2015,1303.20
08/02/2015,1325.20
01/02/2015,1332.60
25/01/2015,1384.60
18/01/2015,1417.60
11/01/2015,1404.90
04/01/2015,1357.40
28/12/2014,1337.70
21/12/2014,1195.30
14/12/2014,1195.90
07/12/2014,1222.00
30/11/2014,1190.10
23/11/2014,1175.20
16/11/2014,1197.50
09/11/2014,1185.00
02/11/2014,1169.60
26/10/2014,1171.10
19/10/2014,1231.20
12/10/2014,1238.30
05/10/2014,1221.00
